,Source,Target,Weight
52131,2,1,1
52229,3,1,6
7903,8,1,1
95430,22,1,1
33222,24,1,1
7831,45,1,2
40916,52,1,1
23467,142,1,1
75295,148,1,1
55521,196,1,1
15306,200,1,1
46849,272,1,1
88835,318,1,1
17954,334,1,1
45622,335,1,2
8193,436,1,1
83237,510,1,1
11787,616,1,1
67261,654,1,1
93917,665,1,1
64995,690,1,1
35000,762,1,1
58460,1,2,1
20848,3,2,185
32387,6,2,3
20281,8,2,1
40640,13,2,1
93396,14,2,1
81086,16,2,2
63997,23,2,1
4794,26,2,37
66112,29,2,1
30156,42,2,1
91672,45,2,3
61819,59,2,1
45651,61,2,2
37842,70,2,1
45645,82,2,1
63336,86,2,1
53979,89,2,1
27934,94,2,1
5861,120,2,1
9412,136,2,1
70716,139,2,4
82234,142,2,2
35281,147,2,10
87861,148,2,1
90672,149,2,1
89961,150,2,1
72266,166,2,1
42449,180,2,1
27109,191,2,1
23119,223,2,1
50718,245,2,1
95408,259,2,1
77394,271,2,5
59289,272,2,15
76808,276,2,9
72209,280,2,2
41480,284,2,1
51991,297,2,1
82919,335,2,6
57067,342,2,1
66856,358,2,1
19875,363,2,1
72398,364,2,2
75029,365,2,1
75004,369,2,1
4317,371,2,2
5747,391,2,1
12939,408,2,1
63748,440,2,1
67663,478,2,1
17730,490,2,7
69743,499,2,1
52106,511,2,1
5991,513,2,1
64093,520,2,1
46454,532,2,1
48621,538,2,1
59884,554,2,1
29154,581,2,1
95758,595,2,1
24210,616,2,1
26311,638,2,1
53201,648,2,2
63049,682,2,10
25454,684,2,2
9977,702,2,1
18177,709,2,2
42151,776,2,1
48373,835,2,2
65939,839,2,1
30529,847,2,1
90908,860,2,1
37657,864,2,2
63700,875,2,2
80778,884,2,18
71107,888,2,1
10669,895,2,1
66663,896,2,3
23982,929,2,2
66540,954,2,1
88119,995,2,9
45991,1,3,6
27182,2,3,185
8453,3,3,624
35049,4,3,66
63647,5,3,12
44901,6,3,321
26104,7,3,650
5219,8,3,976
10619,9,3,7
87977,10,3,5489
69233,11,3,417
50510,12,3,12
74150,13,3,14
57902,14,3,3
41443,15,3,47
93773,16,3,356
71330,17,3,3
52657,18,3,174
15121,20,3,8
37861,22,3,288
51572,23,3,237
21460,24,3,5
24337,25,3,36
17179,26,3,109
94861,27,3,151
75745,28,3,4
34260,29,3,12
34839,30,3,199
16150,31,3,49
22798,32,3,4
737,33,3,34
84206,34,3,25
59309,35,3,5
40412,36,3,3
95924,38,3,248
76832,39,3,36
21591,40,3,115
61458,41,3,14
42569,42,3,991
23869,43,3,1
5134,44,3,106
79003,45,3,513
60370,46,3,18
93382,47,3,276
48350,48,3,6
60762,49,3,26
7265,50,3,43
65911,52,3,27
43667,53,3,2391
68724,54,3,161
6182,55,3,16
12857,56,3,591
40693,57,3,2103
68067,58,3,161
49371,59,3,69
30506,60,3,167
8328,61,3,119
85689,62,3,1
67005,63,3,202
73610,64,3,730
51452,65,3,231
32594,66,3,4
13928,67,3,8
50389,70,3,413
94499,71,3,97
38187,72,3,57
16041,73,3,5
93648,74,3,37
55978,76,3,29
33646,77,3,29
15011,78,3,168
92545,79,3,9
2975,80,3,147
76690,81,3,12
58125,82,3,726
39250,83,3,136
20520,84,3,4
94746,85,3,1
75635,86,3,50
57014,87,3,13
63680,88,3,6
41384,89,3,16
22684,90,3,27
4016,91,3,1231
81324,92,3,1
50834,94,3,851
41293,95,3,12
6060,97,3,2055
83436,98,3,23
64746,99,3,8
23740,101,3,5
5012,102,3,1261
82373,103,3,394
89142,104,3,43
66873,105,3,6
48231,106,3,4
29339,107,3,9
10646,108,3,472
84509,109,3,8
10955,110,3,153
47123,111,3,2
53767,112,3,7
31436,113,3,3
12739,114,3,2
90228,115,3,48
71361,116,3,17
49250,117,3,16
11678,119,3,47
18282,120,3,55
92427,121,3,4
21162,122,3,810
54798,123,3,164
35957,124,3,3
13809,125,3,1
50892,127,3,1
57236,128,3,284
34934,129,3,6
16235,130,3,693
93869,131,3,63
74826,132,3,680
52737,133,3,3
33857,134,3,17
15225,135,3,140
21808,136,3,81
76924,138,3,1
58341,139,3,404
39465,140,3,14
8563,141,3,22
88401,142,3,188
75842,143,3,5
15810,144,3,29
41597,146,3,418
22897,147,3,58
4219,148,3,479
78037,149,3,76
59394,150,3,281
40509,151,3,53
24996,153,3,11
6279,154,3,3
83662,155,3,26
64953,156,3,6
72576,158,3,1
5226,159,3,13
11910,160,3,3
85771,161,3,1
67098,162,3,2
48429,163,3,2
29538,164,3,1
84716,166,3,21
66000,167,3,15
72618,168,3,71
95047,170,3,1
12963,171,3,7
68153,173,3,113
30607,175,3,9
37248,176,3,1
15092,177,3,2
92634,178,3,18
73719,179,3,7
42108,180,3,33
32685,181,3,25
14024,182,3,84
91550,183,3,6
71262,185,3,114
57115,186,3,112
65596,187,3,1
19564,188,3,302
93742,189,3,3
74706,190,3,1
56069,191,3,27
88542,192,3,25
57371,193,3,2
